Proses Tipi,Emal Həcmi (ton),Əməliyyat Xərcləri (AZN),Potential_Energy_Savings,Potential_Cost_Savings,Annual_Cost,Potential_Annual_Savings,Estimated_Investment,ROI_Months
Kimya Emalı,360000,18600000,16.098241098241097,8.362805662805663,223200000,18665782.239382237,27998673.359073356,18.0
Neft Emalı,505000,25347000,11.15799005010399,8.347397015031197,304164000,25389776.656799488,38084664.98519923,18.0
Qaz Emalı,270000,13400000,12.713907117700685,8.714172135310205,160800000,14012388.793578811,21018583.190368216,18.0
